show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s98,Movie,3 Deewarein,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas",,"December 31, 2019",2003,TV-MA,121 min,"Dramas, International Movies, Thrillers","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them."
s523,Movie,Anger Management,Peter Segal,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán, Allen Covert, Lynne Thigpen, Kurt Fuller, Jonathan Loughran, Krista Allen, January Jones, Woody Harrelson, John Turturro, Kevin Nealon",United States,"November 1, 2019",2003,PG-13,105 min,Comedies,"After a gentle businessman is forced to get anger management counseling, his therapist moves in – but turns out to have anger issues of his own."
s610,TV Show,At the Dolphin Bay,,"Angela Chang, Ambrose Hui, Wallace Huo, Jill Hsu, Lin Wei Jun, Josie Leung, Mountain Kao, Liang Hsiu-shen",Taiwan,"November 15, 2019",2003,TV-14,1 Season,"International TV Shows, Romantic TV Shows","Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love."
s689,Movie,Bad Boys II,Michael Bay,"Will Smith, Martin Lawrence, Jordi Mollà, Gabrielle Union, Peter Stormare, Theresa Randle, Joe Pantoliano, Michael Shannon, Jon Seda, Yul Vazquez",United States,"October 1, 2019",2003,R,147 min,"Action & Adventure, Comedies","In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy."
s893,Movie,Bhoot,Ram Gopal Varma,"Ajay Devgn, Urmila Matondkar, Nana Patekar, Rekha, Fardeen Khan, Victor Banerjee, Tanuja, Seema Biswas",India,"December 31, 2019",2003,TV-MA,114 min,"Horror Movies, International Movies, Thrillers","After a couple moves into an apartment, the wife’s increasingly disturbing behavior unravels chilling secrets about their new home’s past."
s1046,Movie,Boom,Kaizad Gustad,"Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani",India,"March 1, 2018",2003,TV-MA,79 min,"Action & Adventure, Dramas, International Movies","Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds."
s1266,Movie,Chalte Chalte,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah, Rajiv Verma, Lillete Dubey, Jayshree T., Johny Lever",India,"July 1, 2018",2003,TV-14,166 min,"Dramas, International Movies, Romantic Movies","Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love."
s1282,Movie,Charlie's Angels: Full Throttle,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese",United States,"October 1, 2019",2003,PG-13,106 min,"Action & Adventure, Comedies","In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection."
s1579,Movie,Daddy Day Care,Steve Carr,"Eddie Murphy, Jeff Garlin, Steve Zahn, Regina King, Anjelica Huston, Kevin Nealon, Jonathan Katz, Siobhan Fallon Hogan, Lisa Edelstein, Lacey Chabert, Laura Kightlinger, Leila Arcieri",United States,"January 1, 2019",2003,PG,93 min,"Children & Family Movies, Comedies","When a conscientious father loses his lucrative dot-com job and faces economic ruin, he joins two friends in opening a business called Daddy Day Care."
s1622,Movie,Darna Mana Hai,Prawal Raman,"Aftab Shivdasani, Antara Mali, Boman Irani, Isha Koppikar, Nana Patekar, Raghuvir Yadav, Rajpal Yadav, Revathy, Saif Ali Khan, Sameera Reddy, Sanjay Kapoor, Shilpa Shetty, Sohail Khan, Vivek Oberoi",India,"August 1, 2019",2003,TV-MA,116 min,"Horror Movies, International Movies, Thrillers","Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
s1842,Movie,Dr. Seuss' The Cat in the Hat,Bo Welch,"Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning, Spencer Breslin, Amy Hill, Sean Hayes, Dan Castellaneta",United States,"May 1, 2019",2003,PG,82 min,"Children & Family Movies, Comedies","While Mom is away, a bored little boy and girl are visited by the Cat in the Hat, who proceeds to turn the house into the ""mother of all messes."""
s1893,Movie,Dum,Eeshwar Nivas,"Vivek Oberoi, Diya Mirza, Atul Kulkarni, Govind Namdeo, Mukesh Rishi, Sushant Singh, Yashpal Sharma, Sheeba",India,"March 1, 2018",2003,TV-14,162 min,"Action & Adventure, Dramas, International Movies","When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice."
s1894,Movie,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,"Eric Christian Olsen, Derek Richardson, Rachel Nichols, Cheri Oteri, Luis Guzmán, Elden Henson, William Lee Scott, Mimi Rogers, Eugene Levy",United States,"October 1, 2019",2003,PG-13,85 min,Comedies,This wacky prequel to the 1994 blockbuster goes back to the lame-brained title characters' days as classmates at a Rhode Island high school.
s2165,Movie,Final Destination 2,David R. Ellis,"Ali Larter, A.J. Cook, Michael Landes, Terrence 'T.C.' Carson, Jonathan Cherry, Keegan Connor Tracy, Sarah Carter, Lynda Boyd, David Paetkau, Justina Machado","United States, Canada","January 1, 2020",2003,R,90 min,"Horror Movies, Thrillers","On a road trip with friends, Kimberly has a premonition that saves everyone from a freak accident. More terrifying visions prompt her to seek help."
s2264,TV Show,Frasier,,"Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin, John Mahoney, Dan Butler",United States,,2003,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies",Frasier Crane is a snooty but lovable Seattle psychiatrist who dispenses advice on his call-in radio show while ignoring it in his own relationships.
s2289,TV Show,Friends,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",United States,,2003,TV-14,10 Seasons,"Classic & Cult TV, TV Comedies","This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan."
s2350,Movie,Gangaajal,Prakash Jha,"Ajay Devgn, Gracy Singh, Mohan Agashe, Mohan Joshi, Ayub Khan, Akhilendra Mishra, Mukesh Tiwari, Yashpal Sharma, Brij Gopal, Anita Kanwal",India,"January 8, 2021",2003,TV-MA,148 min,"Dramas, International Movies","Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians."
s2379,Movie,George of the Jungle 2,David Grossman,"Christopher Showerman, Julie Benz, Angus T. Jones, Thomas Haden Church, Christina Pickles, John Cleese, Michael Clarke Duncan, John Kassir, Kevin Greutert, Keith Scott","United States, Australia","December 20, 2016",2003,PG,87 min,"Children & Family Movies, Comedies","Now married and raising a son, clumsy ape-man George finds his jungle kingdom in peril as Really Mean Lion challenges him for the throne."
s2506,Movie,Gothika,Mathieu Kassovitz,"Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch, Bernard Hill, Penélope Cruz, Dorian Harewood, Bronwen Mantel","United States, France, Canada, Spain","January 1, 2021",2003,R,98 min,"Horror Movies, Thrillers","After a car crash, a criminal psychiatrist awakens to find that she's a patient in the same mental institution that currently employs her."
s2664,Movie,Hazaaron Khwaishein Aisi,Sudhir Mishra,"Kay Kay Menon, Shiney Ahuja, Chitrangada Singh, Ram Kapoor, Saurabh Shukla, Yashpal Sharma, Jasbir Malik, Sohrab Ardeshir, Aditya Bhattacharya, Arif Zakaria","India, France","April 15, 2019",2003,TV-MA,111 min,"Dramas, International Movies, Romantic Movies","In a politically charged India of the 1970s, three friends are transformed by personal ideologies, dangerous ambitions and matters of the heart."
s3039,Movie,Inuyasha the Movie - La spada del dominatore del mondo,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"September 1, 2017",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
s3065,Movie,Ishq Vishk,Ken Ghosh,"Shahid Kapoor, Amrita Rao, Shenaz Treasury, Vishal Malhotra, Kapil Jhaveri, Shabhir, Deepti Gujral, Yash Tonk, Satish Shah, Neelima Azim",India,"September 28, 2020",2003,TV-PG,129 min,"Comedies, International Movies, Music & Musicals","When the duplicitous Rajiv expresses his love for Payal, a cruel lie kicks off a story of self-discovery and unexpected romance."
s3164,Movie,Jhankaar Beats,Sujoy Ghosh,"Rahul Bose, Sanjay Suri, Rinke Khanna, Riya Sen, Juhi Chawla, Shayan Munshi",India,"April 15, 2019",2003,TV-14,131 min,"Comedies, International Movies, Music & Musicals","Juggling personal predicaments and workplace woes, three buddies and bandmates practice for their ultimate dream: winning a coveted music competition."
s3291,Movie,Kal Ho Naa Ho,Nikkhil Advani,"Shah Rukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bhaduri, Sushma Seth, Reema Lagoo, Lillete Dubey, Delnaaz Paul",India,"April 1, 2020",2003,TV-14,187 min,"Comedies, Dramas, International Movies",An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.
s3363,Movie,Khushi,"Surya S.J., Sunil Kumar Agrawal","Fardeen Khan, Kareena Kapoor, Amrish Puri, Navin Nischol, Beena, Anup Soni, Johnny Lever, Sharat Saxena, Amitabh Bachchan, Sakshi Shivanand",India,"March 1, 2018",2003,TV-14,157 min,"Comedies, International Movies, Music & Musicals","While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other."
s3376,Movie,Kill Bill: Vol. 1,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Madsen, Julie Dreyfus, Chiaki Kuriyama, Sonny Chiba, Gordon Liu","United States, Japan","January 1, 2020",2003,R,111 min,Action & Adventure,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle. But she lives – and plots her vengeance."
s3441,TV Show,Kopitiam,,"Joanna Bessey, Douglas Lim, Lina Teoh, Rashid Salleh, Mano Maniam, Tan Jin Chor",Malaysia,"November 3, 2018",2003,TV-14,7 Seasons,"International TV Shows, TV Comedies","A young woman returns to Malaysia to take over her father’s old coffee shop. Along with inheriting the Kopitiam, she gains a kooky group of friends."
